Date,OMC,T
2000-03-31 00:00:00+00:00,0.0889227936703733,-0.0983210486578
2000-06-30 00:00:00+00:00,-0.0165792943649769,-0.0409782650362249
2000-09-30 00:00:00+00:00,-0.0468272272799465,0.0481136852841419
2000-12-31 00:00:00+00:00,-0.184021375488981,0.0831298509088818
2001-03-31 00:00:00+00:00,0.0709741544970252,0.0128236130658248
2001-06-30 00:00:00+00:00,0.058235351854323,-0.125455803711046
2001-09-30 00:00:00+00:00,0.0473571494198181,-0.0650815170309221
2001-12-31 00:00:00+00:00,-0.2632738107468498,0.1543004737555904
2002-03-31 00:00:00+00:00,0.4156894119758614,-0.1351545865702115
2002-06-30 00:00:00+00:00,0.0461475965895989,-0.073333084229579
2002-09-30 00:00:00+00:00,-0.5658591323761135,-0.1748606565807922
2002-12-31 00:00:00+00:00,0.3962978260558143,-0.297147791523157
2003-03-31 00:00:00+00:00,0.1781635646354107,0.412580631452514
2003-06-30 00:00:00+00:00,-0.1762595338890289,-0.2516282811724417
2003-09-30 00:00:00+00:00,0.3256705922151111,0.2424950939207535
2003-12-31 00:00:00+00:00,0.02993142219295,-0.1147343760426204
2004-03-31 00:00:00+00:00,0.176436213329596,0.1828180903478597
2004-06-30 00:00:00+00:00,-0.0763924395272112,-0.0392597493105574
2004-09-30 00:00:00+00:00,-0.071199494459927,-0.0076285959252098
2004-12-31 00:00:00+00:00,-0.003608164573862,0.1093593993908712
2005-03-31 00:00:00+00:00,0.1494998181727926,-0.012693255423931
2005-06-30 00:00:00+00:00,0.0374750868358952,-0.0596115856214495
2005-09-30 00:00:00+00:00,-0.0775365690554049,0.0296053969779148
2005-12-31 00:00:00+00:00,0.0285812307015675,0.0193424306604399
2006-03-31 00:00:00+00:00,0.0449320809243061,0.050043853815074
2006-06-30 00:00:00+00:00,-0.0377683934833877,0.1102708649242125
2006-09-30 00:00:00+00:00,0.0938882712309183,0.0535097202235701
2006-12-31 00:00:00+00:00,0.0387772849091649,0.1724846814192087
2007-03-31 00:00:00+00:00,0.0900953232101984,0.0992051061177885
2007-06-30 00:00:00+00:00,0.0095385657105127,0.1448871691532114
2007-09-30 00:00:00+00:00,0.0287440550793935,0.0734283670623596
2007-12-31 00:00:00+00:00,-0.0775125655462742,0.0207935760066069
2008-03-31 00:00:00+00:00,-0.03672619333972,-0.0181352605715232
2008-06-30 00:00:00+00:00,-0.0245723208839756,-0.024604791977881
2008-09-30 00:00:00+00:00,-0.0215669448666994,-0.1449264505152649
2008-12-31 00:00:00+00:00,-0.1413554004995636,-0.1425611692295698
2009-03-31 00:00:00+00:00,-0.2436388350987877,0.0693493742189894
2009-06-30 00:00:00+00:00,-0.1523959043465306,-0.1017365704449951
2009-09-30 00:00:00+00:00,0.3609723852902016,-0.0126356986593613
2009-12-31 00:00:00+00:00,0.1300320974051474,0.0856502260124036
2010-03-31 00:00:00+00:00,0.0949742358454335,0.0959450712970326
2010-06-30 00:00:00+00:00,-0.0147066146270329,-0.0682048664963269
2010-09-30 00:00:00+00:00,-0.1116443978760735,-0.0476618184274484
2010-12-31 00:00:00+00:00,0.1618564788564203,0.2112411085809247
2011-03-31 00:00:00+00:00,0.1709530463052513,0.0497329488151845
2011-06-30 00:00:00+00:00,0.0685243837930065,0.0519961090136462
2011-09-30 00:00:00+00:00,-0.0031650322461457,0.054167330203775
2011-12-31 00:00:00+00:00,-0.2576730939313408,-0.0948182863196961
2012-03-31 00:00:00+00:00,0.2593544716937173,0.1009756377460873
2012-06-30 00:00:00+00:00,0.1158822720094308,0.0554460664370202
2012-09-30 00:00:00+00:00,-0.0089933848404524,0.172672763241342
2012-12-31 00:00:00+00:00,0.0573237468747989,0.0600824035665932
2013-03-31 00:00:00+00:00,0.0018067864503958,-0.0585425672307721
2013-06-30 00:00:00+00:00,0.1522005473026644,0.0825099902693546
2013-09-30 00:00:00+00:00,0.0721117238735953,-0.0372621037333162
2013-12-31 00:00:00+00:00,0.0196102065527195,-0.0188113357445577
2014-03-31 00:00:00+00:00,0.1709609486475214,0.0444320588768807
2014-06-30 00:00:00+00:00,-0.0169390602474387,0.0218117047945602
2014-09-30 00:00:00+00:00,-0.0005723645778206,0.0287690191327214
2014-12-31 00:00:00+00:00,-0.0541619273549985,0.0022912736898428
2015-03-31 00:00:00+00:00,0.1332445422342285,-0.0141845939007648
2015-06-30 00:00:00+00:00,0.0295568042459664,-0.0106103149775883
2015-09-30 00:00:00+00:00,-0.0939322056652531,0.1021670416335962
2015-12-31 00:00:00+00:00,-0.0502051312078829,-0.0692742110597564
2016-03-31 00:00:00+00:00,0.1238149719126329,0.076050559766889
2016-06-30 00:00:00+00:00,0.147696010788674,0.1581049194415216
2016-09-30 00:00:00+00:00,-0.0200272323047339,0.1315377081951356
2016-12-31 00:00:00+00:00,0.040475975461198,-0.0481576449833333
2017-03-31 00:00:00+00:00,0.0138049461090625,0.0722664788954914
2017-06-30 00:00:00+00:00,0.014004827097843,-0.0187795767828843
2017-09-30 00:00:00+00:00,-0.0232807562799769,-0.0686772689394041
2017-12-31 00:00:00+00:00,-0.0846411224324267,0.0440073042033919
2018-03-31 00:00:00+00:00,-0.0288386855243849,0.0018768894958427
2018-06-30 00:00:00+00:00,-0.0126188341249499,-0.0732179254712558
2018-09-30 00:00:00+00:00,0.0678289766284547,-0.064963277233438
2018-12-31 00:00:00+00:00,-0.0903661257307741,0.0612363429112525
2019-03-31 00:00:00+00:00,0.076753999190843,-0.1004880442406745
2019-06-30 00:00:00+00:00,0.0214319670382279,0.1054477508192868
2019-09-30 00:00:00+00:00,0.1442019975886597,0.0685993039764023
2019-12-31 00:00:00+00:00,-0.0571382974904951,0.1415609248294727
2020-03-31 00:00:00+00:00,0.0306576666949349,0.0578173570005233
2020-06-30 00:00:00+00:00,-0.3466214635098784,-0.2653306936513339
2020-09-30 00:00:00+00:00,0.0674831739313717,0.0909233627520842
2020-12-31 00:00:00+00:00,-0.0799664624627912,-0.0251225805167379
2021-03-31 00:00:00+00:00,0.2409023901618232,0.0586527905202058
2021-06-30 00:00:00+00:00,0.2582781466405679,0.0593714896360697
2021-09-30 00:00:00+00:00,0.076070637482339,-0.0228844610010684
2021-12-31 00:00:00+00:00,-0.0759652013835371,-0.0442419048493797
2022-03-31 00:00:00+00:00,0.0064088231402092,-0.0394821568171661
2022-06-30 00:00:00+00:00,0.1297915944059431,-0.031480879988715
2022-09-30 00:00:00+00:00,-0.2146826061699943,0.1935458063211823
2022-12-31 00:00:00+00:00,-0.0012252361730396,-0.2439336052494947
2023-03-31 00:00:00+00:00,0.3101164254247954,0.1995501853805057
2023-06-30 00:00:00+00:00,0.162555933301524,0.0496259819071038
2023-09-30 00:00:00+00:00,0.0112485759768075,-0.1568531516785799
2023-12-31 00:00:00+00:00,-0.2252505870457531,-0.0737245355397884
